STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1970,6567,6567,143,93,0,0,0,364,235,65,3.87,99,0,0,74.21,83,90.6,75.5
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1971,6144,6144,117,84,0,0,0,365,197,56,3.85,98,0,0,58.42,81.8,89.8,73.8
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1972,6582,6582,132,82,0,0,0,366,228,57,5.55,100,0,0,65.05,83,90.7,75.3
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1973,6624,6624,115,76,0,0,0,365,257,53,3.31,101,0,0,42.91,83.2,91.1,75.3
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1974,6346,6346,125,80,0,0,0,365,228,53,4.31,99,0,0,59.81,82.4,90.5,74.3
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1975,6439,6439,121,80,0,0,0,365,230,51,2.69,102,0,0,54.24,82.7,90.4,74.9
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1976,6438,6438,119,74,0,0,0,365,239,54,4.28,99,1,1,64.36,82.6,90.8,74.4
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1977,6784,6784,96,63,0,0,0,365,285,62,2.08,100,0,0,40.95,83.6,91.9,75.3
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1978,6815,6815,122,80,0,0,0,364,276,63,2.5,99,0,0,48.68,83.7,91.3,76.1
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1979,7081,7081,85,53,0,0,0,365,303,62,6.59,104,0,0,44.62,84.4,92.7,76.2
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1980,7166,7166,98,74,0,0,0,366,298,63,3.31,102,0,0,57.91,84.6,92.6,76.5
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1981,,,134,90,,,0,365,261,,4.16,100,,,62.7,,90.9,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1982,,,130,100,,,0,365,241,,3.48,98,,,72.03,,90.8,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1983,,,132,97,,,0,365,254,,3.9,103,,,83.84,,91.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1984,,,107,67,,,0,366,262,,3.37,100,,,55.04,,91.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1985,,,118,69,,,0,365,237,,4.22,103,,,53.89,,90.8,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1986,,,,,,,0,337,206,,,98,,,,,90.5,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1987,,,98,64,,,,,,,6.18,,,,53.47,,,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1988,,,127,92,,,,,,,5.63,,,,80.75,,,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1989,,,113,72,,,0,351,246,,3.82,100,,,57.17,,91.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1990,,,111,76,,,0,354,287,,5.67,103,,,50.85,,91.7,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1993,,,114,80,,,0,353,253,,8.66,101,,,79.8,,91.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1994,,,112,76,,,0,350,266,,10.28,100,,,86.85,,91.9,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1996,,,131,93,,,0,354,240,,3.7,100,,,69.19,,91.4,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1997,,,86,61,,,0,349,308,,2.56,99,,,38.8,,93,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1998,,,129,100,,,0,351,299,,4.69,102,,,91.77,,93.1,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,1999,,,,,,,0,337,234,,,100,,,,,91,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2000,,,,,,,0,353,270,,,99,,,,,91.7,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2001,,,,,,,0,355,279,,,99,,,,,92,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2002,,,,,,,0,354,297,,,100,,,,,92,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2003,,,123,88,,,0,354,290,,4.99,101,,,59.15,,92.6,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2004,,,107,69,,,0,352,297,,3.46,103,,,49.23,,93,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2005,,,,,,,0,362,290,,,101,,,,,92.1,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2006,,,,,,,0,360,320,,,100,,,,,93.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2007,,,,,,,0,363,316,,,101,,,,,93.6,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2008,,,,,,,0,365,282,,,101,,,,,92.3,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2009,,,,,,,0,365,307,,,103,,,,,92.9,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2010,,,,,,,0,361,308,,,103,,,,,93.7,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2012,,,,,,,0,366,315,,,104,,,,,93.6,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2013,,,,,,,0,362,293,,,104,,,,,93,
TH000048455,"BANGKOK METROPOLIS, TH",13.733,100.567,4,2014,,,,,,,0,365,330,,,102,,,,,93.8,
