STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1978,6739,,6739,G,6,I,3,I,0,G,0,G,0,G,365,G,238,G,59,"G,0112,",2.64,",I,0217,",116,"G,0623,",,,,,3.11,",I",83.4,G,93.2,G,73.6,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1979,7118,,7118,G,8,I,5,I,0,G,0,G,0,G,365,G,256,G,54,"G,0110,",3.15,",I,0116,",120,"G,0624,",0,,0,G,4.06,",I",84.5,G,94,G,75,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1984,,,,,,,,,,,,,0,S,335,S,232,S,,,,,111,"S,0921,+",,,,,,,,,94.3,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1985,6667,,6667,G,5,I,4,I,0,G,0,G,0,G,365,G,259,G,57,"G,0204,+",1.5,",I,1118,",109,"G,0529,",,,,,2.83,",I",83.2,G,93.9,G,72.5,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1986,6635,,6635,G,0,I,0,I,0,G,0,G,0,G,365,G,249,G,58,"G,0218,+",0,",I,1231,+",118,"G,0611,",0,,0,G,0,",I",83.2,G,94.2,G,72.1,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1987,6824,,6824,G,4,I,2,I,0,G,0,G,0,G,365,G,271,G,54,"G,0104,",0.16,",I,0521,+",115,"G,0601,",0,,0,G,0.39,",I",83.7,G,94.8,G,72.5,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1988,7016,,7016,G,3,I,2,I,0,G,0,G,0,G,366,G,268,G,55,"G,0119,",0.91,",I,1230,",118,"G,0620,",0,,0,G,1.14,",I",84.1,G,95.2,G,73.1,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1989,6431,,6431,G,6,I,4,I,0,G,0,G,0,G,365,G,231,G,55,"G,0205,",0.98,",I,1226,",118,"G,0901,",0,,0,G,2.83,",I",82.6,G,93.4,G,71.8,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1990,6242,,6242,G,3,I,0,I,0,G,0,G,0,G,365,G,246,G,54,"G,0215,",0.08,",I,0425,+",109,"G,1009,",1,,1,G,0.2,",I",82,G,92.9,G,71.1,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1991,6484,,6484,G,5,I,3,I,0,G,0,G,0,G,365,G,255,G,50,"G,0307,",0.28,",I,1130,",108,"G,0804,",0,,0,G,0.79,",I",82.7,G,92.8,G,72.6,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1992,5977,,5977,G,11,I,9,I,0,G,0,G,0,G,364,G,226,G,50,"G,0206,",2.05,",I,1102,",120,"G,0621,",14,,14,G,5.75,",I",81.2,G,91.9,G,70.6,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1993,6623,,6623,G,9,I,5,I,0,G,0,G,0,G,362,G,257,G,50,"G,0210,",1.1,",I,1223,",111,"G,0805,",12,,12,G,2.91,",I",83,G,93.2,G,72.9,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1994,6968,,6968,G,4,I,1,I,0,G,0,G,0,G,365,G,247,G,56,"G,0313,",0.2,",I,1122,",113,"G,0522,",0,,0,G,0.35,",I",84,G,94.6,G,73.5,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1995,6889,,6889,G,2,I,2,I,0,G,0,G,0,G,365,G,246,G,55,"G,0211,+",1.77,",I,0214,",120,"G,0630,",0,,0,G,3.03,",I",83.8,G,94.6,G,73.1,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1996,6885,,6885,G,13,I,11,I,0,G,0,G,0,G,366,G,248,G,55,"G,0117,",2.17,",I,1125,",112,"G,1002,",0,,0,G,11.26,",I",83.8,G,94.5,G,73,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1997,6635,,6635,G,6,I,6,I,0,G,0,G,0,G,365,G,235,G,54,"G,0407,",0.87,",I,1019,",109,"G,0707,+",0,,0,G,1.89,",I",83.1,G,94,G,72.2,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1998,7034,,7034,G,6,I,6,I,0,G,0,G,0,G,365,G,265,G,53,"G,0221,",1.02,",I,0329,",112,"G,0810,",0,,0,G,4.09,",I",84.2,G,95.3,G,73.1,G
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,1999,,,,,,,,,,,,,0,S,338,S,259,S,,,,,111,"S,0507,",,,,,,,,,95.8,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2000,,,,,,,,,,,,,0,S,351,S,243,S,,,,,118,"S,0909,",,,,,,,,,94.6,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2001,,,,,,,,,,,,,0,S,356,S,276,S,,,,,117,"S,0528,",,,,,,,,,95.8,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2002,,,,,,,,,,,,,0,S,346,S,268,S,,,,,115,"S,0726,",,,,,,,,,95.3,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2003,,,,,,,,,,,,,0,S,346,S,236,S,,,,,117,"S,0522,",,,,,,,,,95.8,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2004,,,,,,,,,,,,,0,S,348,S,262,S,,,,,120,"S,0531,",,,,,,,,,95.3,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2005,,,,,,,,,,,,,0,S,339,S,248,S,,,,,115,"S,0927,",,,,,,,,,95.7,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2006,,,,,,,,,,,,,0,S,349,S,244,S,,,,,118,"S,0609,+",,,,,,,,,95.5,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2007,,,,,,,,,,,,,0,S,348,S,258,S,,,,,115,"S,0817,",,,,,,,,,95.4,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2008,,,,,,,,,,,,,0,S,347,S,262,S,,,,,118,"S,0609,",,,,,,,,,95.9,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2009,,,,,,,,,,,,,0,S,354,S,266,S,,,,,111,"S,0626,+",,,,,,,,,95.6,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2010,,,,,,,,,,,,,0,S,358,S,302,S,,,,,126,"S,0622,",,,,,,,,,97.5,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2011,,,,,,,,,,,,,0,S,346,S,235,S,,,,,111,"S,0720,",,,,,,,,,94.1,S,,
SA000041024,"JEDDAH KING ABDUL, SA",21.7,39.183,17,2012,,,,,,,,,,,,,0,S,347,S,244,S,,,,,116,"S,0523,",,,,,,,,,95.2,S,,
