STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,HDSD,HTDD,TAVG,TMAX,TMIN
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1970,1701,1701,0,2,0,224,28,31,98,31,,1642,1642,64.7,73.4,56
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1971,1124,1124,0,1,0,223,17,29,100,29,,1813,1813,63.9,72.8,55
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1972,1639,1639,0,1,0,207,18,31,100,,31,1696,1696,64.2,72.4,56
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1973,1252,1252,0,0,0,205,11,34,95,,,1780,1780,63.5,71.7,55.4
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1974,1304,1304,0,3,0,212,11,29,98,32,32,1700,1700,63.9,72.3,55.5
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1975,1284,1284,0,2,0,219,35,30,100,32,,1618,1618,64.6,73,56.1
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1976,1317,1317,0,2,0,200,12,29,96,32,,1871,1871,63,71.2,54.9
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1977,1255,1255,0,0,0,210,13,33,95,,,1642,1642,64.7,72.6,56.7
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1978,1400,1400,0,0,0,213,8,33,96,,,1653,1653,63.9,71.7,56.1
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1979,1452,1452,0,0,0,210,20,33,99,,,1598,1598,64.5,72.9,56.1
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1980,1694,1694,0,4,0,218,24,30,100,31,,1652,1652,65.4,73.4,57.3
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1981,1431,1431,0,1,0,223,17,30,97,30,,1587,1587,64.7,72.6,56.8
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1982,1457,1457,0,2,0,214,22,29,102,29,,1577,1577,64.8,72.7,56.8
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1983,1500,1500,0,0,0,199,19,32,100,,,1874,1874,64,71.8,56.2
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1984,1552,1552,0,2,0,190,13,29,96,29,,2101,2101,63.1,70.7,55.5
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1985,1318,1318,0,0,0,214,21,34,98,,,1553,1553,64.7,72.9,56.6
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1986,1398,1398,0,0,,,,33,,,,,,,,56.6
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1987,,,0,1,0,203,24,29,101,29,,1746,1746,64.5,72.8,56.2
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1988,1296,1296,0,4,0,201,16,29,100,30,,2024,2024,63.4,72.1,54.7
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1989,1729,1729,0,0,0,216,35,33,99,,,1514,1514,65.6,74.1,57.1
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1990,1439,1439,0,0,0,224,16,33,99,,,1609,1609,64.5,72.5,56.5
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1991,1414,1414,0,5,0,217,7,28,93,31,32,1648,1648,64.3,72.1,56.5
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1992,1479,1479,0,1,0,215,10,30,96,30,,1757,1757,64.1,72,56.2
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1993,1525,1525,0,0,0,203,17,33,97,,,1793,1793,64.3,72.3,56.4
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1994,1356,1356,0,0,0,229,27,32,101,,,1492,1492,65.3,73.2,57.4
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1995,1599,1599,0,1,0,218,22,31,105,31,,1661,1661,64.8,73.4,56.3
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1996,1742,1742,0,3,0,233,29,31,98,32,,1617,1617,65.4,74.1,56.7
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1997,1892,1892,0,0,0,228,24,32,96,,,1377,1377,65.8,74,57.7
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1998,1151,1151,0,0,0,208,10,36,94,,,1422,1422,64.3,72.3,56.4
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,1999,1287,1287,0,2,0,201,14,31,101,,31,1675,1675,64.3,72.3,56.2
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,2000,1614,1614,0,0,0,207,20,34,100,,,1734,1734,64.3,72.2,56.5
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,2001,1595,1595,0,0,0,212,24,34,98,,,1478,1478,65.5,73.2,57.9
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,2002,1395,1395,0,4,0,217,16,31,96,32,,1570,1570,64.9,72.9,56.8
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25,2003,1571,1571,0,0,0,209,18,33,99,,,1644,1644,64.4,72.9,55.9
